survey_year,season_name,season,plot_no,size_class,n,zone
1990,Spring,SP90,1,28,1,Zone I
1990,Spring,SP90,1,32,1,Zone I
1990,Spring,SP90,1,33,1,Zone I
1990,Spring,SP90,1,34,2,Zone I
1990,Spring,SP90,1,37,1,Zone I
1990,Spring,SP90,1,38,2,Zone I
1990,Spring,SP90,1,39,2,Zone I
1990,Spring,SP90,1,40,1,Zone I
1990,Spring,SP90,1,41,4,Zone I
1990,Spring,SP90,1,42,2,Zone I
1990,Spring,SP90,1,43,1,Zone I
1990,Spring,SP90,1,44,2,Zone I
1990,Spring,SP90,1,45,1,Zone I
1990,Spring,SP90,1,46,3,Zone I
1990,Spring,SP90,1,47,5,Zone I
1990,Spring,SP90,1,48,6,Zone I
1990,Spring,SP90,1,49,1,Zone I
1990,Spring,SP90,1,50,2,Zone I
1990,Spring,SP90,1,51,1,Zone I
1990,Spring,SP90,1,52,3,Zone I
1990,Spring,SP90,1,53,4,Zone I
1990,Spring,SP90,1,55,1,Zone I
1990,Spring,SP90,1,56,1,Zone I
1990,Spring,SP90,1,57,1,Zone I
1990,Spring,SP90,1,60,2,Zone I
1990,Spring,SP90,1,61,2,Zone I
1990,Spring,SP90,1,64,1,Zone I
1990,Spring,SP90,2,22,1,Zone I
1990,Spring,SP90,2,30,1,Zone I
1990,Spring,SP90,2,32,1,Zone I
1990,Spring,SP90,2,33,2,Zone I
1990,Spring,SP90,2,34,2,Zone I
1990,Spring,SP90,2,35,1,Zone I
1990,Spring,SP90,2,36,3,Zone I
1990,Spring,SP90,2,37,1,Zone I
1990,Spring,SP90,2,38,1,Zone I
1990,Spring,SP90,2,40,6,Zone I
1990,Spring,SP90,2,42,3,Zone I
1990,Spring,SP90,2,43,3,Zone I
1990,Spring,SP90,2,44,1,Zone I
1990,Spring,SP90,2,45,4,Zone I
1990,Spring,SP90,2,46,2,Zone I
1990,Spring,SP90,2,47,1,Zone I
1990,Spring,SP90,2,48,2,Zone I
1990,Spring,SP90,2,50,2,Zone I
1990,Spring,SP90,2,51,1,Zone I
1990,Spring,SP90,2,52,3,Zone I
1990,Spring,SP90,2,54,1,Zone I
1990,Spring,SP90,2,56,1,Zone I
1990,Spring,SP90,2,57,1,Zone I
1990,Spring,SP90,2,58,2,Zone I
1990,Spring,SP90,2,60,2,Zone I
1990,Spring,SP90,2,61,1,Zone I
1990,Spring,SP90,2,62,1,Zone I
1990,Spring,SP90,2,63,2,Zone I
1990,Spring,SP90,2,67,1,Zone I
1990,Spring,SP90,2,70,1,Zone I
1990,Spring,SP90,3,39,1,Zone I
1990,Spring,SP90,3,40,1,Zone I
1990,Spring,SP90,3,41,2,Zone I
1990,Spring,SP90,3,45,1,Zone I
1990,Spring,SP90,3,46,3,Zone I
1990,Spring,SP90,3,47,1,Zone I
1990,Spring,SP90,3,48,2,Zone I
1990,Spring,SP90,3,49,1,Zone I
1990,Spring,SP90,3,50,2,Zone I
1990,Spring,SP90,3,51,2,Zone I
1990,Spring,SP90,3,52,1,Zone I
1990,Spring,SP90,3,55,2,Zone I
1990,Spring,SP90,3,56,2,Zone I
1990,Spring,SP90,3,57,1,Zone I
1990,Spring,SP90,3,60,2,Zone I
1990,Spring,SP90,3,68,1,Zone I
1990,Spring,SP90,4,33,1,Zone I
1990,Spring,SP90,4,34,1,Zone I
1990,Spring,SP90,4,37,1,Zone I
1990,Spring,SP90,4,38,1,Zone I
1990,Spring,SP90,4,41,1,Zone I
1990,Spring,SP90,4,43,2,Zone I
1990,Spring,SP90,4,46,1,Zone I
1990,Spring,SP90,4,48,1,Zone I
1990,Spring,SP90,4,51,2,Zone I
1990,Spring,SP90,4,55,1,Zone I
1990,Spring,SP90,4,56,2,Zone I
1990,Spring,SP90,4,58,1,Zone I
1990,Spring,SP90,4,59,1,Zone I
1990,Spring,SP90,4,60,1,Zone I
1990,Spring,SP90,4,61,1,Zone I
1990,Spring,SP90,4,63,1,Zone I
1990,Spring,SP90,4,66,1,Zone I
