survey_year,mean_count,n_surveys,zone
1990,73.44444444444444,18,Zone I
1990,29.833333333333332,18,Zone II
1990,16.61111111111111,18,Zone III
1991,51.32692307692308,52,Zone I
1991,17.71153846153846,52,Zone II
1991,8.196078431372548,51,Zone III
1992,34.38,50,Zone I
1992,6.68,50,Zone II
1992,2.64,50,Zone III
1993,37.642857142857146,84,Zone I
1993,11.642857142857142,84,Zone II
1993,7.487804878048781,82,Zone III
1994,40.04040404040404,99,Zone I
1994,9.434343434343434,99,Zone II
1994,4.353535353535354,99,Zone III
1995,40.46153846153846,65,Zone I
1995,8.984375,64,Zone II
1995,3.09375,64,Zone III
1996,49.38775510204081,49,Zone I
1996,11.26530612244898,49,Zone II
1996,3.625,48,Zone III
1997,29.05128205128205,39,Zone I
1997,8.25,40,Zone II
1997,0.8,40,Zone III
1998,40.3469387755102,49,Zone I
1998,11.061224489795919,49,Zone II
1998,1.469387755102041,49,Zone III
1999,44.8,50,Zone I
1999,12.86,50,Zone II
1999,0.5,50,Zone III
2000,43.56140350877193,57,Zone I
2000,14.157894736842104,57,Zone II
2000,0.7017543859649122,57,Zone III
2001,41.38181818181818,55,Zone I
2001,15.563636363636364,55,Zone II
2001,2.1818181818181817,55,Zone III
2002,42.94444444444444,54,Zone I
2002,14.581818181818182,55,Zone II
2002,1.309090909090909,55,Zone III
2003,55.38235294117647,68,Zone I
2003,13.666666666666666,69,Zone II
2003,1.1884057971014492,69,Zone III
2004,51.89705882352941,68,Zone I
2004,11.768115942028986,69,Zone II
2004,0.9,70,Zone III
2005,38.91489361702128,47,Zone I
2005,10.574468085106384,47,Zone II
2005,1.446808510638298,47,Zone III
2006,53.41304347826087,46,Zone I
2006,8.73913043478261,46,Zone II
2006,0.5434782608695652,46,Zone III
2007,65.04,50,Zone I
2007,12.416666666666666,48,Zone II
2007,0.6326530612244898,49,Zone III
2008,64.14,50,Zone I
2008,13.244897959183673,49,Zone II
2008,0.49019607843137253,51,Zone III
2009,59.01923076923077,52,Zone I
2009,14.372549019607844,51,Zone II
2009,0.8333333333333334,36,Zone III
2010,58.46666666666667,45,Zone I
2010,9.066666666666666,45,Zone II
2010,0.9512195121951219,41,Zone III
2011,65.1,50,Zone I
2011,16.6,50,Zone II
2011,0.4489795918367347,49,Zone III
2012,71.25925925925925,54,Zone I
2012,14.38888888888889,54,Zone II
2012,1.4807692307692308,52,Zone III
2013,67.55263157894737,38,Zone I
2013,12.842105263157896,38,Zone II
2013,2.625,32,Zone III
2014,69.94444444444444,18,Zone I
2014,11.555555555555555,18,Zone II
2014,0.9090909090909091,11,Zone III
2015,95.25,4,Zone I
2015,10.333333333333334,3,Zone II
2015,3.6666666666666665,3,Zone III
2016,83.27272727272727,22,Zone I
2016,14.863636363636363,22,Zone II
2016,1.8636363636363635,22,Zone III
2017,100.88888888888889,18,Zone I
2017,21.555555555555557,18,Zone II
2017,1.5555555555555556,18,Zone III
2018,78.92857142857143,14,Zone I
2018,23.357142857142858,14,Zone II
2018,1.4285714285714286,14,Zone III
2019,81.5,16,Zone I
2019,21.9375,16,Zone II
2019,0.8571428571428571,7,Zone III
2020,71.14285714285714,21,Zone I
2020,27.904761904761905,21,Zone II
2020,5,3,Zone III
2021,51.10526315789474,19,Zone I
2021,21.57894736842105,19,Zone II
2021,4.2,5,Zone III
