survey_year,type,plot_code,taxa_code,scientific_name,pct_cover,zone
1990,CHT,CHT-01,BARESUB,Substrate,31,Zone I
1990,CHT,CHT-01,CHTBAL,Balanus/chthamalus,39,Zone I
1990,CHT,CHT-01,OTHINV,Other invertebrates,3,Zone I
1990,CHT,CHT-01,OTHPLA,Other algae/plants,9,Zone I
1990,CHT,CHT-01,TETRUB,Tetraclita rubescens,18,Zone I
1990,CHT,CHT-02,BARESUB,Substrate,52,Zone I
1990,CHT,CHT-02,CHTBAL,Balanus/chthamalus,24,Zone I
1990,CHT,CHT-02,OTHPLA,Other algae/plants,3,Zone I
1990,CHT,CHT-02,TETRUB,Tetraclita rubescens,21,Zone I
1990,CHT,CHT-03,BARESUB,Substrate,12,Zone I
1990,CHT,CHT-03,MYTCAL,Mytilus californianus,3,Zone I
1990,CHT,CHT-03,OTHINV,Other invertebrates,15,Zone I
1990,CHT,CHT-03,OTHPLA,Other algae/plants,45,Zone I
1990,CHT,CHT-03,TETRUB,Tetraclita rubescens,25,Zone I
1990,CHT,CHT-04,BARESUB,Substrate,30,Zone I
1990,CHT,CHT-04,OTHINV,Other invertebrates,8,Zone I
1990,CHT,CHT-04,OTHPLA,Other algae/plants,42,Zone I
1990,CHT,CHT-04,POLPOL,Pollicipes polymerus,3,Zone I
1990,CHT,CHT-04,TETRUB,Tetraclita rubescens,17,Zone I
1990,CHT,CHT-05,BARESUB,Substrate,65,Zone I
1990,CHT,CHT-05,OTHPLA,Other algae/plants,15,Zone I
1990,CHT,CHT-05,POLPOL,Pollicipes polymerus,15,Zone I
1990,CHT,CHT-05,TETRUB,Tetraclita rubescens,5,Zone I
1990,MYT,MYT-01,BARESUB,Substrate,31,Zone I
1990,MYT,MYT-01,MYTCAL,Mytilus californianus,7,Zone I
1990,MYT,MYT-01,OTHPLA,Other algae/plants,53,Zone I
1990,MYT,MYT-01,POLPOL,Pollicipes polymerus,9,Zone I
1990,MYT,MYT-02,BARESUB,Substrate,43,Zone I
1990,MYT,MYT-02,MYTCAL,Mytilus californianus,14,Zone I
1990,MYT,MYT-02,OTHINV,Other invertebrates,15,Zone I
1990,MYT,MYT-02,OTHPLA,Other algae/plants,28,Zone I
1990,MYT,MYT-03,BARESUB,Substrate,42,Zone I
1990,MYT,MYT-03,MYTCAL,Mytilus californianus,17,Zone I
1990,MYT,MYT-03,OTHPLA,Other algae/plants,8,Zone I
1990,MYT,MYT-03,POLPOL,Pollicipes polymerus,33,Zone I
1990,MYT,MYT-04,BARESUB,Substrate,29,Zone I
1990,MYT,MYT-04,MYTCAL,Mytilus californianus,2,Zone I
1990,MYT,MYT-04,OTHINV,Other invertebrates,1,Zone I
1990,MYT,MYT-04,OTHPLA,Other algae/plants,66,Zone I
1990,MYT,MYT-04,TETRUB,Tetraclita rubescens,2,Zone I
1990,MYT,MYT-05,BARESUB,Substrate,34,Zone I
1990,MYT,MYT-05,MYTCAL,Mytilus californianus,6,Zone I
1990,MYT,MYT-05,OTHINV,Other invertebrates,9,Zone I
1990,MYT,MYT-05,OTHPLA,Other algae/plants,36,Zone I
1990,MYT,MYT-05,POLPOL,Pollicipes polymerus,14,Zone I
1990,MYT,MYT-05,TETRUB,Tetraclita rubescens,1,Zone I
1990,SIL,SIL-01,BARESUB,Substrate,5,Zone I
1990,SIL,SIL-01,OTHPLA,Other algae/plants,26,Zone I
1990,SIL,SIL-01,SILCOM,Silvetia compressa,69,Zone I
1990,SIL,SIL-02,BARESUB,Substrate,18,Zone I
1990,SIL,SIL-02,OTHPLA,Other algae/plants,12,Zone I
1990,SIL,SIL-02,SILCOM,Silvetia compressa,70,Zone I
1990,SIL,SIL-03,BARESUB,Substrate,5,Zone I
