survey_year,taxa_code,scientific_name,n,zone
1990,ASTMIN,Asterina miniata,0,Zone I
1990,ASTSER,Astrometis sertulifera,0,Zone I
1990,HALCOR,Haliotis corrugata,1,Zone I
1990,HALCRA,Haliotis cracherodii,0,Zone I
1990,HALFUL,Haliotis fulgens,0,Zone I
1990,PISGIG,Pisaster giganteus,1,Zone I
1990,PISOCH,Pisaster ochraceus,0,Zone I
1991,ASTMIN,Asterina miniata,0,Zone I
1991,ASTSER,Astrometis sertulifera,0,Zone I
1991,HALCOR,Haliotis corrugata,0,Zone I
1991,HALCRA,Haliotis cracherodii,0,Zone I
1991,HALFUL,Haliotis fulgens,0,Zone I
1991,PISGIG,Pisaster giganteus,0,Zone I
1991,PISOCH,Pisaster ochraceus,0,Zone I
1992,ASTMIN,Asterina miniata,0,Zone I
1992,ASTSER,Astrometis sertulifera,0,Zone I
1992,HALCOR,Haliotis corrugata,0,Zone I
1992,HALCRA,Haliotis cracherodii,0,Zone I
1992,HALFUL,Haliotis fulgens,0,Zone I
1992,PISGIG,Pisaster giganteus,0,Zone I
1992,PISOCH,Pisaster ochraceus,0,Zone I
1993,HALCOR,Haliotis corrugata,0,Zone I
1993,HALCRA,Haliotis cracherodii,0,Zone I
1993,HALFUL,Haliotis fulgens,0,Zone I
1993,PISGIG,Pisaster giganteus,0,Zone I
1993,PISOCH,Pisaster ochraceus,0,Zone I
1994,ASTMIN,Asterina miniata,0,Zone I
1994,HALCOR,Haliotis corrugata,0,Zone I
1994,HALCRA,Haliotis cracherodii,0,Zone I
1994,HALFUL,Haliotis fulgens,0,Zone I
1994,PISGIG,Pisaster giganteus,0,Zone I
1994,PISOCH,Pisaster ochraceus,0,Zone I
1995,ASTMIN,Asterina miniata,0,Zone I
1995,HALCOR,Haliotis corrugata,0,Zone I
1995,HALCRA,Haliotis cracherodii,0,Zone I
1995,HALFUL,Haliotis fulgens,0,Zone I
1995,PISGIG,Pisaster giganteus,0,Zone I
1995,PISOCH,Pisaster ochraceus,0,Zone I
1996,ASTMIN,Asterina miniata,0,Zone I
1996,HALCOR,Haliotis corrugata,0,Zone I
1996,HALCRA,Haliotis cracherodii,0,Zone I
1996,HALFUL,Haliotis fulgens,0,Zone I
1996,PISGIG,Pisaster giganteus,0,Zone I
1996,PISOCH,Pisaster ochraceus,0,Zone I
1996,STRFRA,Strongylocentrotus franciscanus,1,Zone I
1996,STRPUR,Strongylocentrotus purpuratus,3,Zone I
1998,ASTMIN,Asterina miniata,0,Zone I
1998,ASTSER,Astrometis sertulifera,0,Zone I
1998,HALCOR,Haliotis corrugata,0,Zone I
1998,HALCRA,Haliotis cracherodii,0,Zone I
1998,HALFUL,Haliotis fulgens,0,Zone I
1998,PISGIG,Pisaster giganteus,0,Zone I
1998,PISOCH,Pisaster ochraceus,0,Zone I
1999,ASTMIN,Asterina miniata,0,Zone I
1999,ASTSER,Astrometis sertulifera,0,Zone I
1999,HALCOR,Haliotis corrugata,0,Zone I
1999,HALCRA,Haliotis cracherodii,0,Zone I
1999,HALFUL,Haliotis fulgens,0,Zone I
1999,PISGIG,Pisaster giganteus,0,Zone I
1999,PISOCH,Pisaster ochraceus,0,Zone I
1999,STRFRA,Strongylocentrotus franciscanus,0,Zone I
1999,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2000,ASTMIN,Asterina miniata,0,Zone I
2000,ASTSER,Astrometis sertulifera,0,Zone I
2000,HALCOR,Haliotis corrugata,0,Zone I
2000,HALCRA,Haliotis cracherodii,0,Zone I
2000,HALFUL,Haliotis fulgens,0,Zone I
2000,PISGIG,Pisaster giganteus,0,Zone I
2000,PISOCH,Pisaster ochraceus,0,Zone I
2000,STRFRA,Strongylocentrotus franciscanus,9,Zone I
2000,STRPUR,Strongylocentrotus purpuratus,4,Zone I
2001,ASTMIN,Asterina miniata,0,Zone I
2001,ASTSER,Astrometis sertulifera,0,Zone I
2001,HALCOR,Haliotis corrugata,0,Zone I
2001,HALCRA,Haliotis cracherodii,0,Zone I
2001,HALFUL,Haliotis fulgens,0,Zone I
2001,PISGIG,Pisaster giganteus,0,Zone I
2001,PISOCH,Pisaster ochraceus,0,Zone I
2001,STRFRA,Strongylocentrotus franciscanus,1,Zone I
2001,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2002,ASTMIN,Asterina miniata,0,Zone I
2002,ASTSER,Astrometis sertulifera,0,Zone I
2002,HALCOR,Haliotis corrugata,0,Zone I
2002,HALCRA,Haliotis cracherodii,0,Zone I
2002,HALFUL,Haliotis fulgens,0,Zone I
2002,PISGIG,Pisaster giganteus,0,Zone I
2002,PISOCH,Pisaster ochraceus,0,Zone I
2002,STRFRA,Strongylocentrotus franciscanus,1,Zone I
2002,STRPUR,Strongylocentrotus purpuratus,17,Zone I
2003,STRFRA,Strongylocentrotus franciscanus,4,Zone I
2003,STRPUR,Strongylocentrotus purpuratus,6,Zone I
2004,ASTMIN,Asterina miniata,0,Zone I
2004,ASTSER,Astrometis sertulifera,0,Zone I
2004,HALCOR,Haliotis corrugata,0,Zone I
2004,HALCRA,Haliotis cracherodii,0,Zone I
2004,HALFUL,Haliotis fulgens,0,Zone I
2004,PISGIG,Pisaster giganteus,0,Zone I
2004,PISOCH,Pisaster ochraceus,0,Zone I
2004,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2004,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2005,ASTMIN,Asterina miniata,0,Zone I
2005,ASTSER,Astrometis sertulifera,0,Zone I
2005,HALCOR,Haliotis corrugata,0,Zone I
2005,HALCRA,Haliotis cracherodii,0,Zone I
2005,HALFUL,Haliotis fulgens,0,Zone I
2005,PISGIG,Pisaster giganteus,0,Zone I
2005,PISOCH,Pisaster ochraceus,0,Zone I
2005,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2005,STRPUR,Strongylocentrotus purpuratus,2,Zone I
2006,ASTMIN,Asterina miniata,0,Zone I
2006,ASTSER,Astrometis sertulifera,0,Zone I
2006,HALCOR,Haliotis corrugata,0,Zone I
