type,survey_year,transect_number,taxa_code,scientific_name,pct_cover,zone
Egregia,1990,5,EGRMEN,Egregia menziesii,32.9,Zone I
Egregia,1990,5,PHYALL,Phyllospadix spp,4.3999999999999995,Zone I
Egregia,1990,6,EGRMEN,Egregia menziesii,0.8999999999999999,Zone I
Egregia,1990,6,PHYALL,Phyllospadix spp,87.5,Zone I
Egregia,1991,5,EGRMEN,Egregia menziesii,43,Zone I
Egregia,1991,5,PHYALL,Phyllospadix spp,19.1,Zone I
Egregia,1991,6,EGRMEN,Egregia menziesii,64.3,Zone I
Egregia,1991,6,PHYALL,Phyllospadix spp,18.5,Zone I
Egregia,1991,6,SARMUT,Sargassum muticum,3,Zone I
Egregia,1992,6,EGRMEN,Egregia menziesii,45.2,Zone I
Egregia,1992,6,PHYALL,Phyllospadix spp,29.2,Zone I
Egregia,1992,5,EGRMEN,Egregia menziesii,20.4,Zone I
Egregia,1992,5,PHYALL,Phyllospadix spp,51.5,Zone I
Egregia,1993,5,EGRMEN,Egregia menziesii,5.7,Zone I
Egregia,1993,5,PHYALL,Phyllospadix spp,67.80000000000001,Zone I
Egregia,1993,6,EGRMEN,Egregia menziesii,16.7,Zone I
Egregia,1993,6,PHYALL,Phyllospadix spp,21.2,Zone I
Egregia,1993,6,SARMUT,Sargassum muticum,22.1,Zone I
Egregia,1994,5,PHYALL,Phyllospadix spp,90.60000000000001,Zone I
Egregia,1994,6,EGRMEN,Egregia menziesii,12,Zone I
Egregia,1994,6,HALCYS,Halidrys dioica/cystoseira spp,44.6,Zone I
Egregia,1994,6,PHYALL,Phyllospadix spp,30.9,Zone I
Egregia,1995,5,PHYALL,Phyllospadix spp,93.5,Zone I
Egregia,1995,6,EGRMEN,Egregia menziesii,32.6,Zone I
Egregia,1995,6,HALCYS,Halidrys dioica/cystoseira spp,21.099999999999998,Zone I
Egregia,1995,6,PHYALL,Phyllospadix spp,33,Zone I
Egregia,1996,5,PHYALL,Phyllospadix spp,89.9,Zone I
Egregia,1996,6,EGRMEN,Egregia menziesii,3.2,Zone I
Egregia,1996,6,PHYALL,Phyllospadix spp,56.8,Zone I
Egregia,1996,6,SARMUT,Sargassum muticum,21.4,Zone I
Egregia,1997,6,PHYALL,Phyllospadix spp,45.800000000000004,Zone I
Egregia,1997,5,PHYALL,Phyllospadix spp,81.69999999999999,Zone I
Egregia,1998,5,PHYALL,Phyllospadix spp,87.4,Zone I
Egregia,1998,6,EGRMEN,Egregia menziesii,2.9000000000000004,Zone I
Egregia,1998,6,HALCYS,Halidrys dioica/cystoseira spp,12.7,Zone I
Egregia,1998,6,PHYALL,Phyllospadix spp,51.4,Zone I
Egregia,1999,6,EGRMEN,Egregia menziesii,30.5,Zone I
Egregia,1999,6,PHYALL,Phyllospadix spp,59.699999999999996,Zone I
