site_code,plot_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAB1,CHT-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,CHT-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,CHT-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,CHT-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,CHT-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,MYT-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,POL-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,SIL-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,SIL-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,SIL-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,SIL-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB1,SIL-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
