"","Plot","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","CAB1 CHT-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"2","CAB1 CHT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"3","CAB1 CHT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"4","CAB1 CHT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"5","CAB1 CHT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"6","CAB1 MYT-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"7","CAB1 MYT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"8","CAB1 MYT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"9","CAB1 MYT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"10","CAB1 MYT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"11","CAB1 SIL-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"12","CAB1 SIL-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"13","CAB1 SIL-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"14","CAB1 SIL-04","X","X","X","X",NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"15","CAB1 SIL-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"16","CAB1 POL-01",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"17","CAB1 POL-02",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"18","CAB1 POL-03",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"19","CAB1 POL-04",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"20","CAB1 POL-05",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"21","CAB1 POL-06",NA,NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"22","CAB2 CHT-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"23","CAB2 CHT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"24","CAB2 CHT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"25","CAB2 CHT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"26","CAB2 CHT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"27","CAB2 MYT-01","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"28","CAB2 MYT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"29","CAB2 MYT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"30","CAB2 MYT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"31","CAB2 MYT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
